,judge
Schürch,3325
Marti,3034
Scherrer,2996
Haefeli,2914
Wespi,2904
Badoud,2890
Bovier,2826
Zoller,2798
Galliker,2798
Freihofer,2724
Monnet,2709
Lang,2441
Spälti Giannakitsas,2434
Tellenbach,2350
Huber,2237
Luterbacher,2196
Schenker Senn,2171
König,2055
Antonioni,1965
Cotting-Schalch,1943
Gysi,1849
Cattaneo,1743
Stöckli,1735
Beck Kadima,1540
Felley,1520
Brodard,1481
Willisegger,1358
de Coulon Scuntaro,1350
Angeli,1348
Waeber,1219
Theis,1079
Schmid,975
Pagan,891
Cossy,615
Wenger,486
Teuscher,439
Kojic,380
Weber,331
Brüschweiler,280
Hirsig,250
Dubey,223
Valenti,212
Balmelli,141
Thurnheer,38
